source_lead_key,twenty_record_id,rank,priority,diversified_review_rank,fit_score,score_confidence,why_it_fits
discovered:bf5f0839-ca8a-4f75-a52a-2a15afbdac1e,12d20893-1e66-42bd-bd05-4ed578660a87,1,A,1,89.6,MEDIUM,"Closest client patterns: Home repair and trades, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:fb970d64-a8ed-4c0b-a3b3-1af9a00d45c7,13208893-99df-45d3-8607-8f5b6e735944,2,A,2,88.0,HIGH,"Closest client patterns: Industrial services, Home repair and trades. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:9bd43f26-5935-4846-ac06-f351a2cc93da,58487f81-5149-4540-9a4b-801f0b72f419,3,A,3,86.3,MEDIUM,"Closest client patterns: Healthcare providers, Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:e84e6f96-0a51-4191-a3a2-9b53494c06bb,32532bf8-ad56-4ca4-8110-13051cedcbfb,4,A,4,86.3,HIGH,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:b3c33d8c-f5cf-4e54-97fc-0d13ff88b605,f28fb4bc-f118-44d6-9b28-267a35be4ba6,5,A,5,85.3,MEDIUM,"Closest client patterns: Home repair and trades, Municipal public works. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:d2bc4109-b5cf-4395-b4fb-c6012d79971f,af01d7bc-ca90-4807-ade9-52482a042692,6,A,6,84.3,LOW,"Closest client patterns: Home repair and trades, Municipal public works. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:60aa11dd-c0b1-43aa-a29d-131aa1e080f1,f4727f2e-f47d-4a4f-92f3-185a706b8834,7,A,7,84.1,MEDIUM,"Closest client patterns: Home repair and trades, Mechanical and HVAC services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:4f4ea224-8597-4652-806f-96a34c41706b,5bcaffce-ad21-4a48-8a7f-3012b501636b,8,A,8,83.6,MEDIUM,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:25b3ff84-4e9b-4650-84c9-7eebe1f16d53,1acba872-a9b9-4e76-9db1-f3010fef968d,9,A,9,83.5,HIGH,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:81a98b30-e377-401d-835f-d24a83932efc,b3377951-b13d-4935-b287-c45d8b8e9e2f,10,A,10,83.3,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:da290e1c-af1a-458a-ba10-6958463bf0b4,94033956-7125-4ac1-90e8-231f9b432b6a,11,A,11,81.8,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:8e0adb07-ae82-48fd-9e74-92f96539bd75,e22b9339-d2e3-4aa2-9c67-d76f4be50093,12,A,12,81.3,MEDIUM,"Closest client patterns: Property management and real estate, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:c5cc8639-e420-4a32-ab0c-00e86f98759a,dd556526-3e2e-4732-adac-d2c04f792db3,13,A,13,80.9,HIGH,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a3758a72-66e7-475d-8443-87809a98f229,a7e0b4ff-23ad-4621-ad20-37702a1e26e2,14,A,14,80.8,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:f9e4292c-2d86-4868-a3fc-219275cbe925,0f98f48b-9d51-4284-b7de-4e950f449bd2,15,A,15,80.8,MEDIUM,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:ebd433d4-a922-4fb8-85e0-f9b7d38b21a5,02346355-4e68-4ec4-845f-d11332f9cd84,16,A,16,80.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:58a13ece-22fd-4cc7-ae2a-f714e0a1159d,97dbc505-fa34-4c72-bb89-fcbc85c46909,17,A,17,80.5,MEDIUM,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:9ecdbcf1-ea89-4d3c-b2c0-1b6a98ae08e4,9c3dda0f-2f4c-4dea-b6a0-f6fc57efbce5,18,A,18,80.2,LOW,"Closest client patterns: Home repair and trades, Funeral services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:5518663a-b5c9-423a-a4ce-c3e9948c9ed2,04b142cb-daab-45f9-a1d9-07cf63c1497e,19,A,19,79.8,LOW,"Closest client patterns: Home repair and trades, Elevator services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:e469eaf5-9fe5-45e7-af78-048003354534,c6de47ad-85b6-40e6-9651-afb6c8a6e3a5,20,A,20,79.5,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:e0d51ab6-e2ee-449c-aa6d-3d5fb4138f5c,bee9b2f1-4b8e-44e7-b5f5-064f28b1684e,21,A,21,79.4,HIGH,"Closest client patterns: Dental services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:e052c8d4-27de-4458-a610-7fab60e48e77,d963cc5d-c1a5-4656-8e94-12d926036db5,22,A,22,79.2,MEDIUM,"Closest client patterns: Home repair and trades, Landscaping services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:06c81386-6815-447d-9a64-5157af9bd844,fdcb8e66-2de7-4bf4-bf28-25f21d006a33,23,A,23,79.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:3864dc94-d791-4c2f-9210-606857f46104,930635c0-c801-4fa7-8261-b1f5f306ae20,24,A,24,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:4aef23cb-ad6d-48d2-998f-9ea6bb967e1a,791b444b-60f6-4e1a-a70e-51415a2fb988,25,A,25,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:71a51a73-8571-4848-b688-caed6a3f60f0,5eae3fec-8f40-4777-8569-be5f919e410d,26,A,26,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:b5c416e9-2d06-4263-b319-dbdf8204c950,868243c1-9c1d-47cb-b9a4-701610d42515,27,A,27,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:580ad264-4897-4106-8800-f018b40eac43,4d6ac078-1c78-4291-b6e3-cc1dbe6b8170,28,A,28,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
